neighborhood,name,lat,lon,address,categories,has_cuisine_tag,cuisine_raw,has_opening_hours,opening_hours_raw,has_price_signal,price_signal_raw
Fenway,Tasty Burger,42.3449155,-71.0992804,"Tasty Burger, Richard B. Ross Way, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Fenway,Citizen Public House & Oyster Bar,42.3442902,-71.0979167,"Citizen Public House & Oyster Bar, 1310 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant,False,,False,,False,
Fenway,Regina Pizzeria,42.344243,-71.0981022,"Regina Pizzeria, 1330 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.pizza,True,pizza,True,Mo-Th 11:00-20:00; Fr-Sa 11:00-21:00,False,
Fenway,Eventide FENWAY,42.3444645,-71.0990561,"Eventide FENWAY, 1321 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.seafood,True,seafood,False,,False,
Fenway,Yard House,42.3452683,-71.1003432,"Yard House, 122;126;130 Brookline Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.american,True,american,False,,False,
Fenway,Basho,42.3441,-71.0986476,"Basho, 1338 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.sushi,True,sushi,False,,False,
Fenway,India Quality,42.3485475,-71.0942315,"India Quality, 484 Commonwealth Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.indian;gluten_free;vegan;vegetarian,True,indian,True,"Mo-Fr 11:30-15:00,17:00-22:30; Sa,Su 11:30-22:30",False,
Fenway,Wahlburgers,42.345085,-71.1005241,"Wahlburgers, 132 Brookline Avenue, Boston, MA 02215, United States of America",catering;catering.restaurant,True,burger;bar_and_grill,True,Mo-Su 11:00-22:00,False,
Fenway,CAVA,42.3439858,-71.0992161,"CAVA, 1350 Boylston Street, Boston, MA 02215, United States of America",catering;catering.restaurant;catering.restaurant.mediterranean;wheelchair;wheelchair.yes,True,mediterranean,True,Mo-Su 10:45-22:00,False,
Cambridge/Harvard Sq,Russell House Tavern,42.3731448,-71.1195115,"Russell House Tavern, 14 John F. Kennedy Street, Cambridge, MA 02138, United States of America",catering;catering.restaurant,False,,False,,False,
Cambridge/Harvard Sq,Hourly Oyster House,42.3728825,-71.1190991,"Hourly Oyster House, 11;13;15;17;19;21 Dunster Street, Cambridge, MA 02138, United States of America",catering;catering.restaurant;wheelchair;wheelchair.yes,False,,False,,False,
Cambridge/Harvard Sq,Saloniki Greek,42.3728171,-71.1188514,"Saloniki Greek, 24 Dunster Street, Cambridge, MA 02138, United States of America",catering;catering.restaurant;catering.restaurant.greek;wheelchair;wheelchair.yes,True,greek,True,Mo-Su 11:00-21:00,False,
Cambridge/Harvard Sq,Whole Heart Provisions,42.3727832,-71.118741,"Whole Heart Provisions, 1350 Massachusetts Avenue, Cambridge, MA 02138, United States of America",catering;catering.restaurant,False,,False,,False,
Cambridge/Harvard Sq,El Jefe's Taqueria,42.3732683,-71.1199556,"El Jefe's Taqueria, 14 Brattle Street, Cambridge, MA 02138, United States of America",catering;catering.restaurant;catering.restaurant.mexican;wheelchair;wheelchair.yes,True,mexican,True,Mo-Su 08:00-04:00,False,
